funding_time,entry_time,hold_time_min,entry_price,exit_price,actual_fr,actual_extreme,price_pnl_pct,fees_pct,slippage_pct,gross_pnl_pct,net_pnl_pct,correct_prediction
2025-07-14 16:00:00,2025-07-14 15:30:00,30.0,2.648,2.567,-0.00328755,1,3.058912386706947,0.08,0.04,3.058912386706947,2.938912386706947,True
2025-07-15 16:00:00,2025-07-15 15:30:00,30.0,2.501,2.545,-0.00081192,1,-1.7592962814874067,0.08,0.04,-1.7592962814874067,-1.8792962814874068,True
2025-07-16 00:00:00,2025-07-15 23:30:00,30.0,2.584,2.581,-0.00035472,1,0.11609907120743473,0.08,0.04,0.11609907120743473,-0.0039009287925652683,True
2025-07-29 08:00:00,2025-07-29 07:45:00,15.0,2.56,2.561,5e-05,0,-0.0390624999999957,0.08,0.04,-0.0390624999999957,-0.1590624999999957,False
2025-08-18 00:00:00,2025-08-17 23:35:00,25.0,2.42,2.483,5e-05,0,-2.603305785123974,0.08,0.04,-2.603305785123974,-2.723305785123974,False
2025-08-24 04:00:00,2025-08-24 03:35:00,25.0,2.445,2.431,-0.00016752,1,0.5725971370143064,0.08,0.04,0.5725971370143064,0.45259713701430637,True
2025-09-07 00:00:00,2025-09-06 23:35:00,25.0,2.205,2.207,5e-05,0,-0.090702947845795,0.08,0.04,-0.090702947845795,-0.210702947845795,False
2025-10-05 12:00:00,2025-10-05 11:30:00,30.0,2.022,2.026,5e-05,0,-0.19782393669634046,0.08,0.04,-0.19782393669634046,-0.31782393669634046,False
2025-11-12 16:00:00,2025-11-12 15:50:00,10.0,1.384,1.382,1.1e-05,0,0.14450867052023136,0.08,0.04,0.14450867052023136,0.02450867052023136,False
2025-11-27 08:00:00,2025-11-27 07:30:00,30.0,1.63,1.654,-0.02,1,-1.4723926380368113,0.08,0.04,-1.4723926380368113,-1.5923926380368114,True
2025-11-27 11:00:00,2025-11-27 10:30:00,30.0,1.53,1.502,-0.00691058,1,1.8300653594771257,0.08,0.04,1.8300653594771257,1.7100653594771256,True
2025-11-27 13:00:00,2025-11-27 12:30:00,30.0,1.413,1.428,-0.00264027,1,-1.0615711252653859,0.08,0.04,-1.0615711252653859,-1.181571125265386,True
2025-11-27 17:00:00,2025-11-27 16:30:00,30.0,1.387,1.374,-0.00201714,1,0.9372746935832661,0.08,0.04,0.9372746935832661,0.8172746935832661,True
