funding_time,entry_time,hold_time_min,entry_price,exit_price,actual_fr,actual_extreme,price_pnl_pct,fees_pct,slippage_pct,gross_pnl_pct,net_pnl_pct,correct_prediction
2025-10-11 00:00:00,2025-10-10 23:30:00,30.0,5.161,5.153,0.00056353,0,0.15500871924045742,0.08,0.04,0.15500871924045742,0.03500871924045742,False
2025-10-11 04:00:00,2025-10-11 03:30:00,30.0,5.03,5.212,5e-05,0,-3.6182902584492944,0.08,0.04,-3.6182902584492944,-3.7382902584492945,False
2025-10-15 16:00:00,2025-10-15 15:30:00,30.0,5.792,5.76,-2.639e-05,1,0.5524861878453043,0.08,0.04,0.5524861878453043,0.43248618784530435,True
2025-10-16 00:00:00,2025-10-15 23:30:00,30.0,5.771,5.774,5e-05,0,-0.05198405822214718,0.08,0.04,-0.05198405822214718,-0.17198405822214718,False
2025-10-16 12:00:00,2025-10-16 11:30:00,30.0,5.679,5.722,5e-05,0,-0.7571755590773049,0.08,0.04,-0.7571755590773049,-0.8771755590773049,False
2025-10-17 12:00:00,2025-10-17 11:30:00,30.0,5.265,5.258,5e-05,0,0.13295346628679341,0.08,0.04,0.13295346628679341,0.012953466286793412,False
2025-10-18 00:00:00,2025-10-17 23:30:00,30.0,5.332,5.309,5e-05,0,0.4313578394598591,0.08,0.04,0.4313578394598591,0.3113578394598591,False
2025-10-19 04:00:00,2025-10-19 03:30:00,30.0,8.319,8.581,-0.0002395,1,-3.1494169972352286,0.08,0.04,-3.1494169972352286,-3.2694169972352287,True
2025-10-19 12:00:00,2025-10-19 11:30:00,30.0,9.998,12.21,5e-05,0,-22.12442488497701,0.08,0.04,-22.12442488497701,-22.244424884977008,False
2025-10-20 12:00:00,2025-10-20 11:30:00,30.0,15.336,14.795,-0.0139376,1,3.527647365675537,0.08,0.04,3.527647365675537,3.407647365675537,True
2025-10-20 16:00:00,2025-10-20 15:30:00,30.0,11.568,11.573,5e-05,0,-0.0432226832641838,0.08,0.04,-0.0432226832641838,-0.1632226832641838,False
2025-10-20 20:00:00,2025-10-20 19:30:00,30.0,10.644,10.584,5e-05,0,0.5636978579481444,0.08,0.04,0.5636978579481444,0.4436978579481444,False
2025-10-21 08:00:00,2025-10-21 07:30:00,30.0,10.075,9.617,-0.00341641,1,4.545905707196014,0.08,0.04,4.545905707196014,4.425905707196014,True
2025-10-21 12:00:00,2025-10-21 11:30:00,30.0,9.274,9.093,-7.911e-05,1,1.9516929048953975,0.08,0.04,1.9516929048953975,1.8316929048953974,True
2025-10-21 16:00:00,2025-10-21 15:30:00,30.0,9.744,9.562,5e-05,0,1.867816091954027,0.08,0.04,1.867816091954027,1.7478160919540269,False
2025-10-22 04:00:00,2025-10-22 03:45:00,15.0,8.683,8.532,5e-05,0,1.7390302890705953,0.08,0.04,1.7390302890705953,1.6190302890705952,False
2025-10-22 08:00:00,2025-10-22 07:30:00,30.0,8.875,8.709,5e-05,0,1.8704225352112718,0.08,0.04,1.8704225352112718,1.7504225352112717,False
2025-11-03 16:00:00,2025-11-03 15:30:00,30.0,5.993,6.081,5e-05,0,-1.468379776405808,0.08,0.04,-1.468379776405808,-1.588379776405808,False
2025-11-06 08:00:00,2025-11-06 07:30:00,30.0,6.98,6.785,-0.00012395,1,2.793696275071637,0.08,0.04,2.793696275071637,2.673696275071637,True
2025-11-16 20:00:00,2025-11-16 19:35:00,25.0,5.623,5.626,3.013e-05,1,-0.0533523030410833,0.08,0.04,-0.0533523030410833,-0.17335230304108332,True
2025-11-17 16:00:00,2025-11-17 15:30:00,30.0,5.775,5.688,5e-05,0,1.5064935064935174,0.08,0.04,1.5064935064935174,1.3864935064935173,False
2025-11-18 04:00:00,2025-11-18 03:30:00,30.0,5.631,5.711,5e-05,0,-1.420706801633814,0.08,0.04,-1.420706801633814,-1.5407068016338141,False
2025-11-19 04:00:00,2025-11-19 03:35:00,25.0,5.632,5.606,5e-05,0,0.46164772727272374,0.08,0.04,0.46164772727272374,0.34164772727272374,False
2025-11-21 04:00:00,2025-11-21 03:30:00,30.0,5.374,5.415,5e-05,0,-0.7629326386304498,0.08,0.04,-0.7629326386304498,-0.8829326386304498,False
2025-11-21 08:00:00,2025-11-21 07:30:00,30.0,5.049,5.107,5e-05,0,-1.14874232521291,0.08,0.04,-1.14874232521291,-1.2687423252129102,False
2025-11-29 00:00:00,2025-11-28 23:30:00,30.0,7.144,6.648,-0.00732116,1,6.942889137737968,0.08,0.04,6.942889137737968,6.822889137737968,True
2025-11-29 20:00:00,2025-11-29 19:50:00,10.0,5.838,5.848,-0.00080089,1,-0.17129153819800935,0.08,0.04,-0.17129153819800935,-0.29129153819800935,True
2025-11-30 08:00:00,2025-11-30 07:30:00,30.0,5.63,5.643,-0.00023534,1,-0.23090586145648137,0.08,0.04,-0.23090586145648137,-0.35090586145648134,True
